soc_id,soc
583,472043
584,472044
585,472051
586,472053
587,472061
588,472071
589,472072
590,472073
591,472081
592,472082
593,472111
594,472121
595,472131
596,472132
597,472141
598,472142
599,472151
600,472152
601,472161
602,472171
603,472181
604,472211
605,472221
606,472231
607,473011
608,473012
609,473013
610,473014
611,473015
612,473016
613,473019
614,474011
615,474021
616,474031
617,474041
618,474051
619,474061
620,474071
621,474091
622,474099
623,475011
624,475012
625,475013
626,475022
627,475023
628,475032
629,475041
630,475043
631,475044
632,475049
633,475051
634,475071
635,475081
636,475099
637,491011
638,492011
639,492021
640,492022
641,492091
642,492092
643,492093
644,492094
645,492095
646,492096
647,492097
648,492098
649,493011
650,493021
651,493022
652,493023
653,493031
654,493041
655,493042
656,493043
657,493051
658,493052
659,493053
660,493091
661,493092
662,493093
663,499011
664,499012
665,499021
666,499031
667,499041
668,499043
669,499044
670,499045
671,499051
672,499052
673,499061
674,499062
675,499063
676,499064
677,499069
678,499071
679,499081
680,499091
681,499092
682,499094
683,499095
684,499096
685,499097
686,499098
687,499099
688,511011
689,512011
690,512021
691,512022
692,512023
693,512031
694,512041
695,512051
696,512061
697,512092
698,512099
699,513011
700,513021
701,513022
702,513023
703,513091
704,513092
705,513093
706,513099
707,514021
708,514022
709,514023
710,514031
711,514032
712,514033
713,514034
714,514035
715,514041
716,514051
717,514052
718,514061
719,514062
720,514071
721,514072
722,514081
723,514111
724,514121
725,514122
726,514191
727,514192
728,514193
729,514194
730,514199
731,515111
732,515112
733,515113
734,516011
735,516021
736,516031
737,516041
738,516042
739,516051
740,516052
741,516061
742,516062
743,516063
744,516064
745,516091
746,516092
747,516093
748,516099
749,517011
750,517021
751,517031
752,517032
753,517041
754,517042
755,517099
756,518011
757,518012
758,518013
759,518021
760,518031
761,518091
762,518092
763,518093
764,518099
765,519011
766,519012
767,519021
768,519022
769,519023
770,519031
771,519032
772,519041
773,519051
774,519061
775,519071
776,519081
777,519082
778,519083
779,519111
780,519123
781,519124
782,519141
783,519151
784,519161
785,519162
786,519191
787,519192
788,519193
789,519194
790,519195
791,519196
792,519197
793,519198
794,519199
795,531041
796,531042
797,531043
798,531044
799,531049
800,532011
801,532012
802,532021
803,532022
804,532031
805,533011
806,533031
807,533032
808,533033
809,533051
810,533052
811,533053
812,533054
813,533099
814,534011
815,534013
816,534022
817,534031
818,534041
819,534099
820,535011
821,535021
822,535022
823,535031
824,536011
825,536021
826,536031
827,536032
828,536041
829,536051
830,536061
831,536099
832,537011
833,537021
834,537031
835,537041
836,537051
837,537061
838,537062
839,537063
840,537064
841,537065
842,537071
843,537072
844,537073
845,537081
846,537121
847,537199
848,551011
849,551012
850,551013
851,551014
852,551015
853,551016
854,551017
855,551019
856,552011
857,552012
858,552013
859,553011
860,553012
861,553013
862,553014
863,553015
864,553016
865,553018
866,553019
